alpha_band,alpha_gt,base_clip_id,beta_gt,beta_sign,camera_a,camera_b,camera_pair_category,common_overlap_frames,fps,low_motion,offset_band,original_end_frame,original_start_frame,person_id,protocol,sample_id,seed,source_sequence_id,split,valid_warped_start,valid_warped_stop_exclusive,velocity_bucket,velocity_cm_s
one_control,1.0,04ea839f06a55405c31c,-7.5,negative,00_04,00_18,small,64,29.97,False,near_boundary,71,0,0,offset,eb2126ad126596fd564d2ecf,2908,171204_pose1_sample,train,8,72,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,-3.0,negative,00_04,00_18,small,69,29.97,False,small_medium,71,0,0,offset,90becee7eb935402112b7d29,2908,171204_pose1_sample,train,3,72,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,-0.5,negative,00_04,00_18,small,71,29.97,False,near_zero,71,0,0,offset,27206ad23bf6ec24e2c60d9e,2908,171204_pose1_sample,train,1,72,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,0.0,zero,00_04,00_18,small,72,29.97,False,zero,71,0,0,offset,93dab9b75c4995385409f91b,2908,171204_pose1_sample,train,0,72,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,0.25,positive,00_04,00_18,small,71,29.97,False,near_zero,71,0,0,offset,d6725c2dd57537ef1565e973,2908,171204_pose1_sample,train,0,71,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,2.0,positive,00_04,00_18,small,70,29.97,False,small_medium,71,0,0,offset,7ba993158b46fb1e2bb228c7,2908,171204_pose1_sample,train,0,70,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,7.5,positive,00_04,00_18,small,64,29.97,False,near_boundary,71,0,0,offset,3d890f0d00326b880ce82f9e,2908,171204_pose1_sample,train,0,64,Q3,7.376991
below_one,0.96,04ea839f06a55405c31c,-2.0,negative,00_04,00_18,small,69,29.97,False,small_medium,71,0,0,affine,4ca9c1cb3c87246d9b881848,2908,171204_pose1_sample,train,3,72,Q3,7.376991
below_one,0.96,04ea839f06a55405c31c,0.0,zero,00_04,00_18,small,72,29.97,False,zero,71,0,0,affine,de6c683a3cbca8710eb89442,2908,171204_pose1_sample,train,0,72,Q3,7.376991
below_one,0.96,04ea839f06a55405c31c,2.0,positive,00_04,00_18,small,72,29.97,False,small_medium,71,0,0,affine,c4b09f4f40a3f16edb66ad24,2908,171204_pose1_sample,train,0,72,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,-2.0,negative,00_04,00_18,small,70,29.97,False,small_medium,71,0,0,affine,21630a64c094c4d3f075f4c8,2908,171204_pose1_sample,train,2,72,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,0.0,zero,00_04,00_18,small,72,29.97,False,zero,71,0,0,affine,6a145964369b2add34cebbb6,2908,171204_pose1_sample,train,0,72,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,2.0,positive,00_04,00_18,small,70,29.97,False,small_medium,71,0,0,affine,0981dd210f972312e15bc3cd,2908,171204_pose1_sample,train,0,70,Q3,7.376991
above_one,1.04,04ea839f06a55405c31c,-2.0,negative,00_04,00_18,small,69,29.97,False,small_medium,71,0,0,affine,5a4d3bde0473cf7f297b9bc6,2908,171204_pose1_sample,train,2,71,Q3,7.376991
above_one,1.04,04ea839f06a55405c31c,0.0,zero,00_04,00_18,small,69,29.97,False,zero,71,0,0,affine,9b5f124541189dc34cf0f186,2908,171204_pose1_sample,train,0,69,Q3,7.376991
above_one,1.04,04ea839f06a55405c31c,2.0,positive,00_04,00_18,small,67,29.97,False,small_medium,71,0,0,affine,23b47991af51529f79ccf7a7,2908,171204_pose1_sample,train,0,67,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,-7.5,negative,00_08,00_13,medium,64,29.97,False,near_boundary,71,0,0,offset,896b73cc4bbfd071ae690e19,2908,171204_pose1_sample,train,8,72,Q3,7.376991
